sep=,
"Data","Doc.","Artigo [Documentos GC Lin]","Descrição [Artigos]","Observ. [Artigos]","Quant [Documentos GC Lin]","Valor [Documentos GC Lin]","Desconto [Documentos GC Lin]","Família [Artigos]","Nome [Clientes]","Vendedor [Documentos GC Lin]"
"05-09-2025","ENC",="105828","PINÇA","ER 25 430 E Ø10 D=26 L=34","1","19,5",="0","EROGLU","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"05-09-2025","ENC",="105829","PINÇA","ER 25 430 E Ø12 D=26 L=34","1","19,5",="0","EROGLU","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"05-09-2025","ENC","","","","0","0",="0","","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"05-09-2025","ENC","","","","0","0",="0","","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"05-09-2025","ENC","","","","0","0",="0","","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"05-09-2025","ENC","","","","0","0",="0","","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"05-09-2025","ENC",="105824","PINÇA","ER 25 430 E Ø6 D=26 L=34","1","19,5",="0","EROGLU","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"05-09-2025","ENC","","","","0","0",="0","","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"05-09-2025","ENC",="146352","AZERADOR ANALÓGICO MAGNÉTICO","696 100 01 100mm","2","518,4",="0","ACCUD","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"05-09-2025","ENC","","","","0","0",="0","","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"05-09-2025","ENC",="106365","PORTA PINÇAS","BT40 AD/B ER 25 (2-16)-60","4","212",="0","EROGLU","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"05-09-2025","ENC",="105825","PINÇA","ER 25 430 E Ø8 D=26 L=34","1","19,5",="0","EROGLU","CENTRO FORMAÇÃO PROFISSIONAL IND. METALOMECÂNICA","VT"
"02-10-2025","ENC",="129855","MACHO HSS DIN376 ISO2","M 16,00x2.00 Helic  (LO-SP OX)","2","70,52",="45","YAMAWA","JOÃO PINHO - TORNEARIA MECANICA UNIPESSOAL, LDA","HR"
"02-10-2025","ENC","P","Portes","Portes","1","4,5",="0","","JOÃO PINHO - TORNEARIA MECANICA UNIPESSOAL, LDA","HR"
"07-10-2025","ENC","","","","0","0",="0","","MARTINS ANASTACIO, LDA.","AB"
"07-10-2025","ENC",="101269","DESANDADOR MACHOS DIN1814 AÇO","C 361 Nr.3 M5-M20 AÇO 14030","1","29,67",="23","VOLKEL","MARTINS ANASTACIO, LDA.","AB"
"07-10-2025","ENC","","","","0","0",="0","","MARTINS ANASTACIO, LDA.","AB"
"07-10-2025","ENC",="132675","FRESA CRANEANA HSS P/AÇO","CBR020 20mm","1","24,56",="23","BLUE-M","MARTINS ANASTACIO, LDA.","AB"
"07-10-2025","ENC",="101268","DESANDADOR MACHOS DIN1814","C 361 Nr.2 M4-M12 AÇO 14020","1","15,4",="23","VOLKEL","MARTINS ANASTACIO, LDA.","AB"
"22-10-2025","ENC",="133301","FRESA","GOPR4SE0600R013HAM KCU20","3","40,88",="54,5","KENNA","LEAN TEC, LDA","HR"
"22-10-2025","ENC","","","","0","0",="0","","LEAN TEC, LDA","HR"
"22-10-2025","ENC",="133334","FRESA","GOPR4SE0800R019HAM KCU20","6","105,65",="54,5","KENNA","LEAN TEC, LDA","HR"
"22-10-2025","ENC",="133349","FRESA","GOPR4SE1200R026HAM KCU20","2","73,07",="54,5","KENNA","LEAN TEC, LDA","HR"
"22-10-2025","ENC",="133303","FRESA","GOPR4RA0600N013HAR050M KCU20","3","44,84",="54,5","KENNA","LEAN TEC, LDA","HR"
"22-10-2025","ENC",="133324","FRESA","GOPR4RA0800N019HAR050M KCU20","4","77,53",="54,5","KENNA","LEAN TEC, LDA","HR"
"22-10-2025","ENC",="133297","FRESA","GOPR4SE0400R011HAM KCU20","2","27,25",="54,5","KENNA","LEAN TEC, LDA","HR"
"23-10-2025","ENC",="114679","FRESA TUNGS 3N CURTA ALU","460 LH3HS025 2,50mm UNCOATED","3","23,28",="20","LH","KRISTALTEK – CNC PRECISION, SA","DB"
"23-10-2025","ENC","","","","0","0",="0","","KRISTALTEK – CNC PRECISION, SA","DB"
"23-10-2025","ENC",="110852","FRESA TUNGS 4N CURTA","460 LH4EM015 ALTIN 1,50mm","9","52,56",="20","LH","KRISTALTEK – CNC PRECISION, SA","DB"
"23-10-2025","ENC",="100522","BROCA CENTRAR PONTO","0 HSS 1,00x3,15mm","10","41",="0","OSBORN","KRISTALTEK – CNC PRECISION, SA","DB"
"27-10-2025","ENC",="108801","TRANSFERIDOR 0-180º","Nr 0411 303 150mm","1","43,2",="0","HELIOS","METALÚRGICA DO FOJO, LDA.","DB"
"27-10-2025","ENC",="108800","TRANSFERIDOR 0-180º","Nr 0411 302 120mm","1","34,7",="0","HELIOS","METALÚRGICA DO FOJO, LDA.","DB"
"27-10-2025","ENC",="108651","ESQUADRO LISO DIN875/0","Nr 0369 207 300/200mm","1","121,7",="0","HELIOS","METALÚRGICA DO FOJO, LDA.","DB"
"27-10-2025","ENC",="112915","ESQUADRO LISO DIN875/0 INOX","Nr 0369 205 200/130mm","1","75,8",="0","HELIOS","METALÚRGICA DO FOJO, LDA.","DB"
"28-10-2025","ENC",="106214","NAVALHA SANGRAR RADIAL","SGIH 32 3","1","0",="0","FERVI","CARLOS ALBERTO FARIA ANDRADE & FILHOS, LDA.","VT"
"28-10-2025","ENC",="106214","NAVALHA SANGRAR RADIAL","SGIH 32 3","1","29,7",="10","FERVI","CARLOS ALBERTO FARIA ANDRADE & FILHOS, LDA.","VT"
"28-10-2025","ENC","","","","0","0",="0","","CARLOS ALBERTO FARIA ANDRADE & FILHOS, LDA.","VT"
"28-10-2025","ENC",="121826","PLAQUETE DE SANGRAR","TGTN 3 CM6233","20","124",="0","NATSU","CARLOS ALBERTO FARIA ANDRADE & FILHOS, LDA.","VT"
"28-11-2025","ENC","P","Portes","Portes","1","4,5",="0","","ENG & STEEL LDA","HR"
"28-11-2025","ENC",="113055","BROCA COBALTO HSS CD33","0 Co 10,80mm","5","54",="0","OSBORN","ENG & STEEL LDA","HR"
